valence,arousal,dominance
0.698,0.769,0.404
0.204,0.373,0.167
0.948,0.77,0.702
0.949,0.657,0.486
0.74,0.28,0.281
0.802,0.529,0.336
0.86,0.276,0.238
0.47,0.471,0.179
0.469,0.77,0.667
0.854,0.411,0.57
0.337,0.56,0.508
0.53,0.275,0.364
0.408,0.575,0.61
0.625,0.52,0.694
0.214,0.686,0.444
0.163,0.689,0.517
0.698,0.529,0.66
0.896,0.491,0.652
0.836,0.38,0.625
0.688,0.186,0.25
0.663,0.34,0.455
0.656,0.363,0.518
0.52,0.429,0.481
0.714,0.21,0.294
0.469,0.469,0.598
0.52,0.49,0.404
0.625,0.418,0.39
0.87,0.624,0.38
0.357,0.46,0.481
0.771,0.602,0.387
0.594,0.306,0.394
0.194,0.51,0.415
0.173,0.562,0.357
0.52,0.544,0.869
0.6,0.587,0.764
0.343,0.529,0.86
0.406,0.23,0.25
0.912,0.46,0.413
0.604,0.861,0.673
0.865,0.413,0.307
0.573,0.442,0.23
0.31,0.4,0.396
0.656,0.372,0.293
0.24,0.571,0.421
0.857,0.538,0.435
0.592,0.566,0.433
0.837,0.206,0.482
0.521,0.34,0.482
0.208,0.85,0.358
0.329,0.459,0.408
0.573,0.541,0.464
0.292,0.582,0.372
0.625,0.49,0.402
0.583,0.286,0.225
0.394,0.588,0.345
0.5,0.633,0.387
0.571,0.31,0.269
0.561,0.443,0.556
0.48,0.45,0.286
0.561,0.36,0.352
0.408,0.497,0.491
0.479,0.382,0.452
0.573,0.562,0.409
0.418,0.588,0.5
0.354,0.452,0.353
0.42,0.549,0.651
0.469,0.602,0.365
0.5,0.463,0.36
0.469,0.404,0.452
0.429,0.606,0.464
0.49,0.352,0.321
0.673,0.455,0.403
0.857,0.38,0.848
0.265,0.387,0.474
0.306,0.327,0.332
0.281,0.37,0.393
0.885,0.48,0.418
0.745,0.52,0.664
0.704,0.298,0.473
0.167,0.788,0.676
0.02,0.867,0.507
0.198,0.583,0.398
0.615,0.542,0.648
0.719,0.529,0.689
0.28,0.76,0.712
0.25,0.655,0.467
0.594,0.56,0.509
0.469,0.745,0.691
0.56,0.625,0.362
0.612,0.42,0.269
0.852,0.29,0.421
0.729,0.394,0.539
0.639,0.406,0.388
0.406,0.462,0.5
0.646,0.639,0.625
0.812,0.75,0.547
0.62,0.417,0.5
0.865,0.449,0.833
0.573,0.49,0.39
0.51,0.324,0.241
0.781,0.51,0.75
0.673,0.356,0.588
0.725,0.382,0.65
0.959,0.52,0.741
0.842,0.64,0.548
0.812,0.491,0.463
0.867,0.602,0.575
0.875,0.698,0.602
0.837,0.588,0.515
0.407,0.413,0.435
0.48,0.537,0.535
0.582,0.373,0.421
0.458,0.404,0.447
0.5,0.296,0.548
0.255,0.615,0.464
0.427,0.571,0.586
0.5,0.392,0.529
0.594,0.445,0.6
0.531,0.427,0.304
0.542,0.509,0.413
0.844,0.736,0.481
0.401,0.413,0.358
0.911,0.347,0.518
0.76,0.42,0.61
0.375,0.451,0.304
0.365,0.287,0.214
0.52,0.517,0.509
0.708,0.198,0.61
0.296,0.444,0.347
0.316,0.491,0.407
0.58,0.745,0.455
0.459,0.37,0.4
0.542,0.426,0.409
0.53,0.346,0.398
0.306,0.463,0.346
0.219,0.528,0.304
0.469,0.26,0.208
0.45,0.49,0.387
0.35,0.26,0.157
0.698,0.538,0.5
0.663,0.49,0.6
0.792,0.455,0.711
0.781,0.571,0.625
0.6,0.25,0.292
0.49,0.414,0.5
0.48,0.29,0.343
0.51,0.654,0.336
0.586,0.461,0.707
0.596,0.615,0.536
0.562,0.342,0.417
0.612,0.388,0.32
0.735,0.52,0.657
0.592,0.575,0.545
0.327,0.657,0.528
0.458,0.255,0.488
0.551,0.422,0.509
0.365,0.539,0.569
0.52,0.565,0.596
0.562,0.527,0.464
0.5,0.538,0.519
0.316,0.642,0.383
0.531,0.571,0.473
0.724,0.637,0.432
0.604,0.647,0.467
0.079,0.602,0.37
0.47,0.451,0.348
0.541,0.413,0.432
0.585,0.464,0.602
0.57,0.549,0.508
0.625,0.454,0.532
0.631,0.25,0.586
0.786,0.404,0.723
0.375,0.4,0.42
0.469,0.368,0.375
0.847,0.531,0.508
0.592,0.509,0.707
0.653,0.24,0.573
0.7,0.279,0.72
0.521,0.281,0.517
0.7,0.229,0.598
0.49,0.448,0.525
0.76,0.306,0.679
0.823,0.452,0.839
0.792,0.231,0.796
0.583,0.373,0.481
0.255,0.76,0.473
0.271,0.69,0.779
0.765,0.531,0.897
0.442,0.302,0.272
0.542,0.54,0.429
0.354,0.44,0.236
0.438,0.643,0.36
0.541,0.388,0.454
0.562,0.491,0.686
0.425,0.677,0.469
0.459,0.52,0.51
0.779,0.731,0.529
0.5,0.229,0.42
0.823,0.894,0.686
0.802,0.461,0.613
0.652,0.535,0.625
0.592,0.453,0.411
0.5,0.443,0.422
0.796,0.31,0.631
0.293,0.918,0.453
0.177,0.764,0.575
0.448,0.375,0.241
0.656,0.314,0.522
0.69,0.26,0.611
0.729,0.571,0.588
0.643,0.198,0.536
0.75,0.333,0.51
0.583,0.423,0.613
0.571,0.46,0.663
0.646,0.411,0.72
0.781,0.4,0.593
0.539,0.292,0.363
0.917,0.41,0.649
0.418,0.82,0.387
0.48,0.409,0.528
0.449,0.429,0.545
0.125,0.84,0.333
0.092,0.755,0.4
0.398,0.4,0.452
0.26,0.6,0.598
0.281,0.698,0.562
0.542,0.25,0.267
0.827,0.17,0.5
0.604,0.556,0.375
0.595,0.396,0.427
0.816,0.363,0.609
0.823,0.352,0.583
0.625,0.31,0.66
0.604,0.353,0.433
0.729,0.298,0.472
0.729,0.314,0.451
0.857,0.327,0.573
0.542,0.459,0.473
0.68,0.333,0.509
0.875,0.316,0.689
0.486,0.26,0.361
0.542,0.602,0.454
0.296,0.545,0.389
0.24,0.627,0.434
0.615,0.36,0.595
0.306,0.442,0.36
0.594,0.417,0.397
0.438,0.618,0.58
0.531,0.312,0.575
0.594,0.33,0.556
0.521,0.324,0.589
0.52,0.396,0.491
0.5,0.579,0.509
0.582,0.38,0.596
0.896,0.353,0.729
0.878,0.509,0.921
0.536,0.365,0.268
0.418,0.49,0.463
0.583,0.45,0.618
0.625,0.577,0.508
0.361,0.62,0.509
0.635,0.24,0.483
0.531,0.367,0.541
0.735,0.853,0.667
0.615,0.66,0.604
0.573,0.716,0.735
0.469,0.538,0.43
0.417,0.62,0.588
0.224,0.46,0.37
0.469,0.439,0.6
0.337,0.412,0.64
0.458,0.462,0.319
0.438,0.31,0.381
0.594,0.255,0.423
0.293,0.422,0.383
0.46,0.5,0.405
0.427,0.43,0.391
0.625,0.844,0.464
0.469,0.188,0.333
0.521,0.595,0.389
0.69,0.254,0.397
0.396,0.578,0.464
0.677,0.173,0.407
0.49,0.373,0.528
0.375,0.404,0.365
0.104,0.618,0.454
0.438,0.413,0.475
0.406,0.471,0.524
0.216,0.696,0.679
0.292,0.26,0.263
0.24,0.164,0.318
0.796,0.237,0.45
0.531,0.204,0.33
0.229,0.22,0.412
0.15,0.558,0.275
0.51,0.19,0.287
0.797,0.33,0.481
0.833,0.27,0.414
0.582,0.324,0.366
0.75,0.343,0.407
0.74,0.133,0.342
0.24,0.213,0.302
0.469,0.25,0.343
0.735,0.195,0.324
0.281,0.28,0.202
0.584,0.636,0.704
0.439,0.296,0.315
0.605,0.34,0.364
0.427,0.218,0.396
0.65,0.598,0.3
0.6,0.673,0.391
0.646,0.618,0.393
0.694,0.571,0.493
0.723,0.53,0.591
0.39,0.49,0.353
0.653,0.38,0.412
0.35,0.333,0.161
0.551,0.48,0.582
0.125,0.42,0.144
0.448,0.472,0.407
0.49,0.458,0.446
0.383,0.5,0.491
0.542,0.373,0.528
0.135,0.598,0.4
0.633,0.823,0.735
0.479,0.394,0.509
0.381,0.558,0.436
0.36,0.241,0.34
0.479,0.434,0.529
0.49,0.73,0.673
0.333,0.481,0.481
0.719,0.396,0.458
0.604,0.37,0.51
0.612,0.788,0.627
0.745,0.282,0.441
0.677,0.256,0.464
0.62,0.44,0.596
0.367,0.4,0.447
0.408,0.325,0.441
0.448,0.385,0.368
0.51,0.415,0.318
0.312,0.712,0.6
0.156,0.84,0.373
0.418,0.562,0.392
0.45,0.5,0.382
0.459,0.46,0.423
0.52,0.424,0.343
0.188,0.667,0.196
0.083,0.764,0.339
0.74,0.48,0.381
0.26,0.784,0.519
0.776,0.255,0.322
0.622,0.265,0.227
0.47,0.28,0.29
0.51,0.321,0.304
0.583,0.308,0.491
0.375,0.582,0.436
0.531,0.488,0.524
0.49,0.245,0.3
0.448,0.4,0.698
0.448,0.41,0.679
0.442,0.344,0.667
0.469,0.531,0.481
0.677,0.415,0.702
0.26,0.741,0.517
0.33,0.708,0.577
0.479,0.67,0.506
0.708,0.46,0.536
0.588,0.472,0.638
0.551,0.349,0.648
0.823,0.418,0.309
0.72,0.339,0.295
0.694,0.357,0.307
0.76,0.333,0.312
0.073,0.432,0.343
0.427,0.343,0.363
0.765,0.479,0.836
0.615,0.51,0.43
0.615,0.35,0.398
0.635,0.344,0.706
0.513,0.401,0.634
0.646,0.526,0.598
0.72,0.406,0.788
0.698,0.281,0.5
0.604,0.536,0.555
0.531,0.47,0.603
0.459,0.551,0.566
0.448,0.343,0.298
0.378,0.518,0.389
0.677,0.574,0.445
0.5,0.4,0.545
0.635,0.49,0.593
0.612,0.45,0.518
0.562,0.385,0.602
0.646,0.481,0.337
0.673,0.373,0.623
0.404,0.461,0.397
0.469,0.325,0.24
0.398,0.538,0.348
0.365,0.358,0.407
0.093,0.47,0.427
0.427,0.491,0.327
0.707,0.312,0.336
0.135,0.736,0.361
0.612,0.663,0.704
0.816,0.449,0.559
0.885,0.628,0.741
0.729,0.32,0.769
0.68,0.321,0.375
0.541,0.245,0.45
0.208,0.689,0.342
0.656,0.442,0.446
0.42,0.427,0.306
0.438,0.448,0.58
0.531,0.422,0.717
0.52,0.333,0.508
0.74,0.413,0.6
0.635,0.481,0.491
0.57,0.402,0.588
0.725,0.311,0.588
0.583,0.458,0.698
0.817,0.573,0.533
0.552,0.481,0.648
0.7,0.467,0.746
0.592,0.461,0.678
0.271,0.892,0.557
0.562,0.308,0.328
0.245,0.848,0.585
0.637,0.36,0.594
0.604,0.363,0.368
0.365,0.51,0.4
0.677,0.413,0.552
0.449,0.394,0.384
0.459,0.592,0.89
0.553,0.327,0.613
0.333,0.42,0.43
0.208,0.524,0.466
0.716,0.353,0.593
0.5,0.408,0.385
0.786,0.28,0.402
0.541,0.52,0.443
0.806,0.317,0.275
0.85,0.52,0.519
0.781,0.469,0.353
0.354,0.34,0.25
0.875,0.349,0.34
0.698,0.692,0.9
0.561,0.587,0.543
0.52,0.521,0.407
0.48,0.25,0.67
0.448,0.34,0.491
0.646,0.365,0.648
0.396,0.382,0.382
0.219,0.255,0.302
0.143,0.438,0.433
0.49,0.123,0.268
0.302,0.846,0.833
0.531,0.853,0.78
0.381,0.69,0.816
0.708,0.48,0.726
0.561,0.436,0.428
0.663,0.442,0.533
0.622,0.37,0.5
0.698,0.439,0.453
0.386,0.65,0.75
0.457,0.807,0.591
0.529,0.269,0.558
0.58,0.409,0.555
0.812,0.735,0.598
0.918,0.555,0.49
0.704,0.679,0.471
0.863,0.231,0.67
0.927,0.163,0.473
0.618,0.275,0.302
0.906,0.337,0.62
0.93,0.241,0.625
0.917,0.459,0.387
0.844,0.737,0.327
0.69,0.556,0.384
0.653,0.417,0.5
0.344,0.269,0.242
0.427,0.79,0.849
0.622,0.7,0.943
0.552,0.639,0.931
0.531,0.615,0.906
0.562,0.664,0.925
0.656,0.49,0.876
0.323,0.71,0.817
0.812,0.602,0.636
0.719,0.615,0.754
0.75,0.438,0.754
0.76,0.585,0.741
0.906,0.694,0.711
0.786,0.57,0.555
0.911,0.5,0.639
0.61,0.304,0.55
0.667,0.417,0.379
0.602,0.402,0.446
0.492,0.51,0.607
0.646,0.5,0.788
0.806,0.49,0.528
0.385,0.519,0.454
0.385,0.5,0.788
0.677,0.48,0.571
0.602,0.449,0.949
0.365,0.529,0.491
0.714,0.71,0.843
0.472,0.519,0.582
0.71,0.542,0.712
0.592,0.392,0.721
0.615,0.394,0.537
0.427,0.53,0.636
0.6,0.127,0.318
0.448,0.365,0.327
0.604,0.17,0.574
0.52,0.337,0.442
0.633,0.396,0.623
0.63,0.406,0.702
0.49,0.7,0.646
0.592,0.321,0.556
0.5,0.488,0.655
0.796,0.491,0.623
0.823,0.41,0.696
0.837,0.4,0.649
0.847,0.56,0.637
0.573,0.509,0.796
0.765,0.357,0.607
0.264,0.57,0.623
0.265,0.702,0.632
0.75,0.35,0.659
0.469,0.431,0.652
0.667,0.442,0.569
0.622,0.582,0.565
0.646,0.52,0.512
0.573,0.45,0.371
0.458,0.417,0.673
0.531,0.471,0.582
0.582,0.352,0.454
0.77,0.377,0.618
0.271,0.259,0.2
0.833,0.438,0.792
0.906,0.425,0.798
0.562,0.443,0.458
0.47,0.273,0.562
0.604,0.391,0.538
0.552,0.408,0.524
0.583,0.456,0.492
0.5,0.389,0.607
0.541,0.307,0.529
0.735,0.258,0.509
0.857,0.404,0.411
0.816,0.45,0.673
0.892,0.387,0.638
0.2,0.847,0.625
0.333,0.654,0.347
0.698,0.57,0.87
0.61,0.461,0.537
0.612,0.429,0.762
0.775,0.469,0.598
0.589,0.49,0.7
0.573,0.745,0.786
0.615,0.802,0.823
0.768,0.775,0.764
0.865,0.56,0.904
0.58,0.79,0.798
0.447,0.718,0.908
0.612,0.959,0.861
0.53,0.512,0.606
0.6,0.413,0.519
0.604,0.503,0.519
0.625,0.452,0.518
0.143,0.682,0.36
0.143,0.606,0.281
0.76,0.277,0.6
0.714,0.32,0.586
0.75,0.414,0.809
0.823,0.357,0.777
0.73,0.37,0.69
0.823,0.433,0.769
0.614,0.5,0.769
0.656,0.47,0.525
0.388,0.608,0.55
0.312,0.577,0.612
0.521,0.52,0.38
0.479,0.62,0.595
0.75,0.462,0.75
0.677,0.31,0.519
0.21,0.657,0.404
0.211,0.66,0.455
0.365,0.726,0.33
0.323,0.684,0.67
0.82,0.49,0.651
0.823,0.413,0.435
0.806,0.37,0.638
0.729,0.423,0.59
0.5,0.346,0.39
0.531,0.382,0.525
0.639,0.432,0.694
0.684,0.385,0.682
0.822,0.588,0.691
0.591,0.459,0.62
0.765,0.408,0.652
0.48,0.404,0.441
0.802,0.354,0.717
0.635,0.385,0.735
0.875,0.365,0.689
0.908,0.387,0.688
0.796,0.385,0.644
0.406,0.412,0.46
0.323,0.396,0.388
0.622,0.392,0.585
0.646,0.521,0.579
0.418,0.481,0.63
0.839,0.373,0.669
0.677,0.52,0.805
0.402,0.481,0.866
0.118,0.76,0.604
0.347,0.871,0.573
0.343,0.541,0.791
0.57,0.402,0.545
0.583,0.429,0.697
0.531,0.408,0.564
0.802,0.356,0.639
0.677,0.45,0.657
0.745,0.398,0.695
0.781,0.412,0.804
0.255,0.736,0.427
0.48,0.593,0.539
0.441,0.349,0.349
0.312,0.436,0.306
0.344,0.363,0.352
0.302,0.57,0.39
0.67,0.324,0.473
0.354,0.625,0.309
0.194,0.667,0.473
0.73,0.35,0.613
0.708,0.538,0.7
0.75,0.439,0.743
0.735,0.5,0.722
0.73,0.479,0.635
0.573,0.265,0.632
0.694,0.49,0.614
0.25,0.734,0.463
0.292,0.698,0.35
0.938,0.867,0.718
0.613,0.759,0.679
0.588,0.423,0.615
0.77,0.493,0.657
0.583,0.306,0.339
0.48,0.343,0.343
0.792,0.475,0.726
0.583,0.298,0.62
0.573,0.44,0.611
0.53,0.267,0.679
0.531,0.382,0.603
0.615,0.377,0.659
0.5,0.427,0.745
0.448,0.459,0.417
0.427,0.482,0.727
0.677,0.32,0.586
0.625,0.358,0.608
0.5,0.53,0.495
0.74,0.657,0.528
0.633,0.42,0.547
0.388,0.594,0.476
0.459,0.394,0.429
0.764,0.627,0.613
0.573,0.547,0.741
0.573,0.6,0.681
0.072,0.708,0.482
0.102,0.793,0.625
0.133,0.725,0.449
0.51,0.316,0.538
0.598,0.415,0.623
0.583,0.363,0.593
0.521,0.377,0.565
0.52,0.333,0.433
0.5,0.469,0.519
0.521,0.343,0.556
0.396,0.419,0.617
0.49,0.417,0.616
0.781,0.36,0.538
0.44,0.468,0.617
0.551,0.441,0.593
0.439,0.288,0.607
0.26,0.443,0.404
0.198,0.48,0.288
0.406,0.637,0.5
0.571,0.441,0.619
0.573,0.388,0.519
0.775,0.479,0.679
0.453,0.51,0.75
0.53,0.557,0.717
0.583,0.575,0.642
0.677,0.663,0.621
0.47,0.302,0.413
0.417,0.208,0.343
0.59,0.541,0.736
0.551,0.546,0.792
0.663,0.404,0.83
0.573,0.482,0.583
0.688,0.615,0.606
0.36,0.712,0.431
0.469,0.642,0.46
0.458,0.392,0.629
0.325,0.538,0.658
0.781,0.573,0.25
0.837,0.633,0.631
0.669,0.472,0.595
0.959,0.276,0.943
0.765,0.324,0.723
0.643,0.471,0.761
0.667,0.431,0.718
0.633,0.469,0.558
0.54,0.443,0.591
0.327,0.551,0.538
0.286,0.472,0.444
0.333,0.656,0.52
0.396,0.386,0.542
0.802,0.439,0.806
0.812,0.48,0.692
0.656,0.5,0.683
0.76,0.49,0.764
0.25,0.625,0.482
0.208,0.706,0.586
0.344,0.721,0.594
0.335,0.906,0.471
0.173,0.738,0.553
0.677,0.598,0.565
0.479,0.38,0.375
0.608,0.278,0.254
0.622,0.435,0.711
0.645,0.363,0.579
0.347,0.529,0.333
0.333,0.528,0.264
0.281,0.76,0.746
0.177,0.87,0.658
0.1,0.58,0.27
0.22,0.65,0.179
0.229,0.69,0.222
0.255,0.667,0.277
0.469,0.529,0.44
0.82,0.412,0.62
0.448,0.434,0.427
0.271,0.654,0.491
0.5,0.5,0.838
0.541,0.72,0.67
0.93,0.726,0.775
0.927,0.724,0.784
0.948,0.78,0.717
0.96,0.755,0.719
0.959,0.616,0.689
0.653,0.53,0.733
0.561,0.49,0.7
0.449,0.444,0.857
0.552,0.491,0.848
0.438,0.471,0.877
0.656,0.472,0.577
0.51,0.368,0.379
0.49,0.422,0.471
0.396,0.398,0.534
0.698,0.51,0.688
0.583,0.42,0.467
0.479,0.429,0.582
0.52,0.472,0.509
0.487,0.444,0.639
0.385,0.679,0.645
0.224,0.653,0.694
0.34,0.469,0.404
0.724,0.299,0.536
0.816,0.55,0.612
0.729,0.56,0.655
0.719,0.491,0.764
0.76,0.461,0.769
0.694,0.873,0.971
0.76,0.873,0.936
0.604,0.809,0.93
0.71,0.702,0.833
0.663,0.375,0.721
0.688,0.404,0.688
0.74,0.333,0.705
0.84,0.483,0.755
0.396,0.775,0.642
0.663,0.5,0.8
0.771,0.418,0.804
0.663,0.418,0.643
0.663,0.417,0.655
0.627,0.358,0.625
0.75,0.5,0.62
0.727,0.406,0.693
0.24,0.721,0.593
0.663,0.471,0.625
0.832,0.401,0.606
0.406,0.369,0.633
0.615,0.316,0.788
0.635,0.24,0.729
0.69,0.347,0.573
0.677,0.368,0.579
0.653,0.314,0.683
0.781,0.38,0.633
0.589,0.38,0.687
0.635,0.385,0.602
0.49,0.44,0.5
0.823,0.386,0.58
0.714,0.5,0.887
0.786,0.431,0.726
0.408,0.25,0.304
0.625,0.398,0.415
0.7,0.343,0.452
0.88,0.44,0.87
0.7,0.366,0.784
0.604,0.445,0.776
0.5,0.347,0.417
0.632,0.509,0.63
0.479,0.52,0.596
0.125,0.787,0.652
0.271,0.786,0.707
0.206,0.74,0.52
0.573,0.667,0.764
0.786,0.443,0.763
0.74,0.296,0.686
0.663,0.561,0.7
0.719,0.533,0.775
0.167,0.68,0.469
0.079,0.612,0.231
0.5,0.48,0.696
0.573,0.5,0.827
0.573,0.414,0.833
0.812,0.349,0.906
0.59,0.38,0.889
0.633,0.418,0.827
0.612,0.439,0.853
0.261,0.5,0.5
0.135,0.537,0.357
0.323,0.55,0.481
0.75,0.648,0.792
0.848,0.612,0.759
0.86,0.57,0.812
0.602,0.519,0.553
0.573,0.354,0.688
0.561,0.453,0.694
0.755,0.37,0.441
0.77,0.344,0.808
0.66,0.463,0.625
0.427,0.62,0.509
0.507,0.551,0.677
0.573,0.541,0.536
0.551,0.54,0.558
0.583,0.676,0.661
0.39,0.531,0.538
0.719,0.424,0.526
0.208,0.63,0.535
0.184,0.725,0.4
0.542,0.49,0.658
0.551,0.396,0.561
0.411,0.491,0.618
0.14,0.611,0.426
0.04,0.5,0.368
0.125,0.61,0.375
0.74,0.347,0.642
0.552,0.324,0.627
0.729,0.308,0.739
0.64,0.373,0.591
0.72,0.365,0.569
0.206,0.635,0.396
0.146,0.657,0.471
0.204,0.5,0.375
0.51,0.657,0.731
0.48,0.79,0.681
0.49,0.698,0.716
0.764,0.296,0.559
0.857,0.612,0.746
0.375,0.51,0.738
0.422,0.573,0.637
0.875,0.61,0.782
0.656,0.375,0.55
0.667,0.698,0.717
0.76,0.53,0.602
0.531,0.3,0.553
0.375,0.45,0.5
0.45,0.396,0.469
0.551,0.373,0.833
0.486,0.35,0.755
0.396,0.5,0.67
0.47,0.531,0.659
0.5,0.423,0.685
0.646,0.438,0.698
0.729,0.51,0.652
0.615,0.47,0.566
0.63,0.427,0.612
0.635,0.44,0.5
0.667,0.5,0.52
0.781,0.439,0.684
0.625,0.509,0.58
0.719,0.417,0.702
0.677,0.39,0.491
0.589,0.265,0.414
0.177,0.875,0.67
0.296,0.518,0.525
0.594,0.412,0.636
0.344,0.557,0.449
0.48,0.586,0.569
0.594,0.49,0.769
0.292,0.755,0.603
0.592,0.479,0.727
0.16,0.598,0.482
0.25,0.66,0.377
0.365,0.651,0.421
0.448,0.59,0.491
0.327,0.449,0.338
0.48,0.406,0.52
0.521,0.538,0.491
0.357,0.618,0.472
0.344,0.627,0.593
0.806,0.35,0.795
0.854,0.452,0.76
0.844,0.51,0.76
0.347,0.363,0.473
0.347,0.583,0.463
0.408,0.53,0.458
0.729,0.352,0.808
0.469,0.712,0.868
0.49,0.441,0.885
0.271,0.858,0.538
0.25,0.819,0.6
0.167,0.565,0.509
0.354,0.524,0.408
0.458,0.48,0.269
0.521,0.494,0.526
0.583,0.676,0.636
0.781,0.448,0.613
0.802,0.412,0.693
0.846,0.491,0.574
0.48,0.217,0.594
0.622,0.622,0.704
0.594,0.292,0.634
0.635,0.471,0.539
0.551,0.491,0.625
0.781,0.49,0.696
0.724,0.36,0.542
0.75,0.51,0.609
0.719,0.431,0.596
0.719,0.467,0.667
0.594,0.406,0.598
0.755,0.409,0.442
0.48,0.605,0.736
0.551,0.538,0.704
0.663,0.418,0.686
0.542,0.529,0.717
0.438,0.427,0.445
0.449,0.354,0.484
0.719,0.633,0.708
0.615,0.52,0.455
0.375,0.479,0.663
0.177,0.84,0.477
0.615,0.704,0.826
0.708,0.539,0.763
0.75,0.5,0.63
0.76,0.527,0.9
0.538,0.611,0.663
0.323,0.614,0.433
0.417,0.559,0.527
0.5,0.671,0.639
0.49,0.439,0.5
0.847,0.5,0.412
0.602,0.346,0.398
0.592,0.373,0.407
0.633,0.368,0.345
0.792,0.306,0.25
0.823,0.451,0.316
0.694,0.51,0.434
0.68,0.406,0.482
0.885,0.54,0.781
0.72,0.412,0.456
0.664,0.375,0.46
0.469,0.324,0.392
0.49,0.307,0.548
0.49,0.46,0.4
0.612,0.445,0.65
0.898,0.451,0.582
0.76,0.39,0.693
0.847,0.473,0.686
0.816,0.461,0.67
0.698,0.429,0.694
0.677,0.454,0.789
0.75,0.51,0.85
0.327,0.77,0.836
0.51,0.471,0.453
0.592,0.647,0.709
0.459,0.345,0.39
0.64,0.538,0.573
0.562,0.63,0.613
0.427,0.462,0.527
0.58,0.26,0.5
0.571,0.704,0.569
0.46,0.24,0.263
0.449,0.58,0.443
0.448,0.315,0.404
0.458,0.402,0.663
0.802,0.231,0.425
0.276,0.712,0.607
0.388,0.378,0.358
0.823,0.312,0.482
0.667,0.441,0.528
0.469,0.317,0.38
0.57,0.324,0.357
0.721,0.378,0.54
0.347,0.25,0.281
0.427,0.443,0.445
0.594,0.196,0.292
0.479,0.378,0.325
0.643,0.304,0.302
0.521,0.346,0.443
0.459,0.441,0.425
0.4,0.296,0.366
0.55,0.388,0.596
0.507,0.52,0.415
0.719,0.31,0.349
0.729,0.346,0.355
0.458,0.441,0.295
0.643,0.299,0.337
0.448,0.37,0.221
0.458,0.469,0.366
0.818,0.439,0.745
0.567,0.613,0.509
0.792,0.592,0.836
0.323,0.558,0.526
0.582,0.49,0.596
0.592,0.454,0.745
0.429,0.332,0.873
0.52,0.35,0.461
0.551,0.453,0.483
0.094,0.657,0.232
0.439,0.469,0.651
0.543,0.34,0.49
0.606,0.662,0.422
0.857,0.306,0.723
0.448,0.485,0.558
0.292,0.713,0.602
0.448,0.528,0.613
0.796,0.45,0.649
0.596,0.462,0.571
0.51,0.402,0.571
0.71,0.452,0.545
0.663,0.423,0.491
0.573,0.565,0.712
0.74,0.423,0.618
0.604,0.589,0.592
0.671,0.471,0.616
0.625,0.431,0.733
0.156,0.61,0.348
0.14,0.618,0.57
0.02,0.806,0.5
0.062,0.804,0.38
0.052,0.83,0.549
0.51,0.294,0.397
0.448,0.451,0.382
0.49,0.52,0.381
0.594,0.439,0.529
0.38,0.423,0.536
0.427,0.395,0.456
0.551,0.52,0.598
0.625,0.304,0.308
0.765,0.464,0.472
0.663,0.538,0.692
0.651,0.438,0.637
0.823,0.51,0.76
0.86,0.478,0.664
0.365,0.42,0.439
0.316,0.65,0.642
0.548,0.51,0.374
0.847,0.255,0.518
0.625,0.23,0.278
0.439,0.344,0.324
0.6,0.279,0.361
0.639,0.071,0.24
0.594,0.082,0.198
0.438,0.588,0.538
0.255,0.627,0.241
0.875,0.279,0.635
0.531,0.367,0.793
0.594,0.519,0.73
0.667,0.48,0.704
0.823,0.327,0.74
0.873,0.365,0.706
0.594,0.389,0.492
0.438,0.692,0.49
0.635,0.44,0.69
0.439,0.478,0.75
0.378,0.542,0.688
0.281,0.951,0.764
0.52,0.48,0.627
0.398,0.76,0.651
0.094,0.694,0.451
0.448,0.608,0.577
0.438,0.509,0.538
0.562,0.44,0.67
0.52,0.566,0.534
0.698,0.394,0.693
0.673,0.441,0.789
0.795,0.451,0.438
0.732,0.288,0.327
0.343,0.373,0.5
0.479,0.368,0.545
0.275,0.815,0.607
0.479,0.46,0.482
0.806,0.605,0.607
0.612,0.286,0.65
0.594,0.479,0.555
0.704,0.3,0.421
0.83,0.728,0.849
0.918,0.587,0.879
0.551,0.383,0.441
0.735,0.412,0.534
0.542,0.472,0.546
0.479,0.769,0.827
0.937,0.396,0.529
0.927,0.287,0.431
0.571,0.503,0.818
0.385,0.67,0.887
0.367,0.71,0.816
0.667,0.49,0.654
0.592,0.391,0.434
0.503,0.365,0.355
0.675,0.394,0.427
0.76,0.409,0.464
0.5,0.304,0.37
0.458,0.578,0.591
0.594,0.462,0.667
0.365,0.24,0.471
0.767,0.413,0.629
0.562,0.34,0.644
0.615,0.382,0.583
0.5,0.57,0.508
0.302,0.779,0.524
0.661,0.73,0.625
0.449,0.23,0.3
0.102,0.49,0.149
0.133,0.621,0.167
0.102,0.385,0.127
0.594,0.625,0.695
0.541,0.566,0.554
0.438,0.48,0.596
0.458,0.324,0.333
0.427,0.45,0.232
0.667,0.49,0.625
0.347,0.33,0.213
0.459,0.471,0.387
0.91,0.356,0.545
0.421,0.396,0.33
0.198,0.812,0.37
0.302,0.625,0.4
0.224,0.52,0.228
0.604,0.343,0.346
0.567,0.509,0.426
0.327,0.557,0.286
0.327,0.643,0.481
0.26,0.602,0.245
0.776,0.194,0.333
0.76,0.321,0.539
0.667,0.38,0.391
0.719,0.31,0.583
0.823,0.373,0.571
0.589,0.679,0.783
0.448,0.449,0.49
